temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
76.0,7.5,0.4728718990338089,0.03883489025881522,216958.58179325907,15.509161039933781,96.7317221370531,1.3359727396108692e-05,1.2555557220957355e-07,5.249550499044143e-05,2.106506540741072e-06,0.09081540194803674,4.107142857142857,0.580125,142198.0,6161.0,940.0,9347.0
76.0,8.0,0.48353854608375346,0.03971089508900391,224607.20075541444,14.595228507645123,100.10536737194869,1.4242667798118471e-05,1.293425133575761e-07,5.4651930228799326e-05,2.2263711480427467e-06,0.09631545876045366,4.107142857142857,0.663,141823.0,6291.0,881.0,9425.0
76.0,8.5,0.4833881835245621,0.03969854647303167,223778.4567652074,12.317252911860358,108.64393104987138,1.6888117539087104e-05,1.4131331569174655e-07,6.135926270290052e-05,2.590499600822333e-06,0.08966919430231318,4.107142857142857,0.580125,141522.0,6279.0,930.0,9436.0
76.0,9.0,0.4807234917158807,0.0394797070491303,228382.29903061283,8.861534455767602,121.54888943071757,2.3523173808635722e-05,1.7593499671245713e-07,7.9907326406515e-05,3.536389492649785e-06,0.0760510923354139,4.107142857142857,0.49724999999999997,140576.0,6210.0,951.0,9559.0
76.0,9.5,0.47779236086065796,0.03923898615763858,223234.33716859054,5.961674384771983,124.17209135577853,3.495971417076026e-05,2.559476770508285e-07,0.00011868100469038591,5.277654741046062e-06,0.06004546874035359,4.107142857142857,0.41437500000000005,141607.0,6208.0,905.0,9490.0
76.0,10.0,0.48361636477428566,0.03971728599595583,221065.20263249753,4.464526586395255,112.51887694919472,4.6623769830532855e-05,3.766945285067366e-07,0.0001690077187194561,7.193724558928487e-06,0.04471730217304447,4.107142857142857,0.3315,141954.0,6305.0,927.0,9561.0
79.0,5.0,0.48470474066671504,0.03980666952335341,225109.58751538934,13.327467734975011,95.12571504162833,1.5563261483002426e-05,1.4873390989818744e-07,6.187152351065639e-05,2.464729819633326e-06,0.010940185429238974,4.107142857142857,0.153,142157.0,6317.0,910.0,9308.0
79.0,5.5,0.4837529594602914,0.039728503917028764,227328.81038049527,14.54439517851547,95.13511082083069,1.4268827270151711e-05,1.363498822123946e-07,5.672156746392337e-05,2.2596733076862407e-06,0.0164159558759084,4.107142857142857,0.2295,141005.0,6263.0,930.0,9447.0
79.0,6.0,0.48145150145844073,0.03953949528885745,222127.85986721847,15.970362163698834,95.16649912523607,1.2979269621748468e-05,1.239862359993277e-07,5.1583305182534575e-05,2.0552743263898565e-06,0.026232855288328943,4.107142857142857,0.306,141830.0,6261.0,936.0,9321.0
79.0,6.5,0.4904497393894266,0.04027848101265823,227404.88537486154,15.962771775092063,95.270862226713,1.3004605161997143e-05,1.240921731237721e-07,5.164407830300971e-05,2.0586908599613344e-06,0.04493261981901368,4.107142857142857,0.38249999999999995,141177.0,6364.0,958.0,9501.0
